,sepal_length,sepal_width,petal_length,petal_width,species
100,5.9,3.2,4.8,1.8,versicolor
101,6.1,2.9,4.7,1.4,versicolor
102,4.7,3.2,1.3,0.2,setosa
103,5.0,2.3,3.3,1.0,versicolor
104,7.3,2.9,6.3,1.8,virginica
105,5.4,3.4,1.5,0.4,setosa
106,4.9,3.0,1.4,0.2,setosa
107,4.8,3.0,1.4,0.3,setosa
108,4.8,3.4,1.6,0.2,setosa
109,7.7,3.8,6.7,2.2,virginica
110,4.5,2.3,1.3,0.3,setosa
111,5.1,3.4,1.5,0.2,setosa
112,5.0,3.6,1.4,0.2,setosa
113,5.6,2.5,3.9,1.1,versicolor
114,4.9,3.1,1.5,0.1,setosa
115,6.6,3.0,4.4,1.4,versicolor
116,5.2,4.1,1.5,0.1,setosa
117,7.7,2.6,6.9,2.3,virginica
118,5.7,2.5,5.0,2.0,virginica
119,4.4,2.9,1.4,0.2,setosa
120,6.5,3.0,5.8,2.2,virginica
121,5.1,3.5,1.4,0.2,setosa
122,5.1,3.8,1.5,0.3,setosa
123,5.3,3.7,1.5,0.2,setosa
124,5.6,2.9,3.6,1.3,versicolor
125,6.3,3.3,6.0,2.5,virginica
126,5.0,3.0,1.6,0.2,setosa
127,7.2,3.6,6.1,2.5,virginica
128,5.5,2.4,3.8,1.1,versicolor
129,5.7,3.8,1.7,0.3,setosa
130,6.1,2.8,4.7,1.2,versicolor
131,5.8,2.7,5.1,1.9,virginica
132,5.8,2.8,5.1,2.4,virginica
133,5.8,2.7,3.9,1.2,versicolor
134,6.7,3.0,5.0,1.7,versicolor
135,5.4,3.0,4.5,1.5,versicolor
136,6.7,3.0,5.2,2.3,virginica
137,6.9,3.1,5.1,2.3,virginica
138,7.7,3.0,6.1,2.3,virginica
139,6.7,3.3,5.7,2.5,virginica
140,6.7,3.1,4.7,1.5,versicolor
141,5.0,3.5,1.3,0.3,setosa
142,4.9,3.1,1.5,0.2,setosa
143,4.6,3.4,1.4,0.3,setosa
144,6.4,3.1,5.5,1.8,virginica
145,4.6,3.2,1.4,0.2,setosa
146,6.0,2.9,4.5,1.5,versicolor
147,6.4,3.2,5.3,2.3,virginica
148,5.5,3.5,1.3,0.2,setosa
149,4.7,3.2,1.6,0.2,setosa
