,sepal_length,sepal_width,petal_length,petal_width,species
50,4.8,3.4,1.9,0.2,setosa
51,6.3,2.3,4.4,1.3,versicolor
52,5.8,2.6,4.0,1.2,versicolor
53,5.1,3.3,1.7,0.5,setosa
54,6.1,3.0,4.9,1.8,virginica
55,5.5,4.2,1.4,0.2,setosa
56,6.7,2.5,5.8,1.8,virginica
57,5.1,3.8,1.6,0.2,setosa
58,7.7,2.8,6.7,2.0,virginica
59,7.1,3.0,5.9,2.1,virginica
60,6.8,3.0,5.5,2.1,virginica
61,6.7,3.1,4.4,1.4,versicolor
62,5.7,4.4,1.5,0.4,setosa
63,5.1,3.5,1.4,0.3,setosa
64,4.9,2.4,3.3,1.0,versicolor
65,5.0,3.3,1.4,0.2,setosa
66,5.4,3.4,1.7,0.2,setosa
67,5.8,2.7,4.1,1.0,versicolor
68,6.3,2.5,5.0,1.9,virginica
69,6.5,3.0,5.5,1.8,virginica
70,6.4,2.8,5.6,2.1,virginica
71,5.6,2.7,4.2,1.3,versicolor
72,7.2,3.2,6.0,1.8,virginica
73,4.8,3.1,1.6,0.2,setosa
74,7.6,3.0,6.6,2.1,virginica
75,4.9,3.6,1.4,0.1,setosa
76,7.9,3.8,6.4,2.0,virginica
77,5.9,3.0,5.1,1.8,virginica
78,7.0,3.2,4.7,1.4,versicolor
79,5.1,3.8,1.9,0.4,setosa
80,6.8,3.2,5.9,2.3,virginica
81,6.4,2.7,5.3,1.9,virginica
82,5.0,3.5,1.6,0.6,setosa
83,5.0,3.2,1.2,0.2,setosa
84,6.3,2.9,5.6,1.8,virginica
85,5.1,3.7,1.5,0.4,setosa
86,5.2,3.4,1.4,0.2,setosa
87,6.2,2.8,4.8,1.8,virginica
88,5.7,3.0,4.2,1.2,versicolor
89,6.4,3.2,4.5,1.5,versicolor
90,5.0,3.4,1.5,0.2,setosa
91,6.3,2.7,4.9,1.8,virginica
92,6.9,3.2,5.7,2.3,virginica
93,5.5,2.5,4.0,1.3,versicolor
94,5.7,2.6,3.5,1.0,versicolor
95,6.0,2.7,5.1,1.6,versicolor
96,6.3,3.4,5.6,2.4,virginica
97,5.9,3.0,4.2,1.5,versicolor
98,6.0,3.0,4.8,1.8,virginica
99,6.7,3.3,5.7,2.1,virginica
